id,position,city,company,salary,experience,education,industry,skills,benefits
1,大数据工程师,重庆,中电智安科技有限公司,1-2万,3-5年,本科,通信/网络设备,"数据建模, 数仓开发, Java, Python, Hadoop, MySQL, MongoDB, Elasticsearch","节日福利, 餐饮补贴, 单位体检, 带薪假期, 通讯补贴, 交通补贴, 商业医疗险"
2,大模型知识-RM,重庆,重庆禹迹科技发展有限公司,5000-6000元,经验不限,本科,人工智能,,
3,大模型数据训练师,重庆,中国电信重庆分公司,1.1-1.5万,3-5年,本科,通信/网络设备,"医疗类AI训练, 政务类AI训练, 金融类AI训练, AI AGENT, Python",
4,实习生（数据处理）,重庆,重庆长安智慧城市运营管理有限公司,50-100元/天,无经验,学历不限,物业管理,数据整理、处理,
5,长安凯程-新能源大数据开发工程师（数据产品）(J23100),重庆,重庆长安凯程汽车科技有限公司,面议,3-5年,本科,零售/批发,"新能源大数据开发, 数据产品、汽车研发, 商用车、皮卡",
6,动力BU-大数据主任工程师(J14807),重庆,赛力斯集团股份有限公司,1.5-2万·13薪,5-10年,本科,汽车研发/制造,"数据治理, 数据建模, 数据库开发",
7,数据分析师 (J10319),重庆,开林企业管理集团有限公司,6000-8000元·13薪,1-3年,大专,互联网,数据治理,
8,金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第五分公司,6000-11000元,经验不限,学历不限,互联网金融/小额贷款,,"奖金加提成, 周末双休"
9,大数据治理开发工程师,重庆,中国电信重庆分公司,1-1.3万,3-5年,本科,通信/网络设备,"数据治理, ETL, 数据中台开发, Sql, Python, Java, Hadoop, Spark, Kafka",
10,大数据工程师,重庆,重庆鸿捷通信科技发展有限公司,6000-12000元,3-5年,本科,运营商/增值服务,数据开发,
11,数据信息分析,重庆,重庆九龙安保服务有限公司,6000-7000元,1-3年,大专,政府/公共事业,"Python, Sql, 数据可视化","工作餐免费, 五险一金"
12,数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
13,大数据开发工程师,重庆,重庆学一雅通信设备有限责任公司,8000-12000元,3-5年,本科,运营商/增值服务,"Hadoop, Java, Python, Scala, ETL, 数据挖掘, 数据中台开发","周末双休, 带薪假期, 五险"
14,产品经理（大数据方向）,重庆,中电智安科技有限公司,1-2万,1-3年,本科,通信/网络设备,"产品经理, 大数据产品, 数据分析, 金融产品","单位体检, 五险一金, 带薪假期, 通讯补贴, 交通补贴, 节日福利, 餐饮补贴, 周末双休"
15,数据PM,重庆,字节跳动,8000-12000元,3-5年,本科,互联网,,
16,双休医学数据专员/五险一金租房补贴/轻松无压力,重庆,山东易途人力资源有限公司,5000-6000元,经验不限,本科,人力资源服务,医学标注,"五险, 五险一金, 周末双休, 住房补贴, 绩效奖金"
17,大数据专业教师,重庆,重庆科技职业学院,4000-7000元,1-3年,硕士,学校/学历教育,"计算机类, 智能控制, 大数据",
18,大数据平台开发工程师（JAVA大数据应用）,重庆,重庆软江图灵人工智能科技有限公司,8000-12000元,3-5年,本科,人工智能,"数据治理, 数据架构, 数据库开发",
19,数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
20,金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第九分公司,5000-10000元,经验不限,大专,互联网金融/小额贷款,"Python, 全职","奖金加提成, 周末双休"
21,大数据工程师,重庆,中电智安科技有限公司,1-2万,3-5年,本科,通信/网络设备,"数据建模, 数仓开发, Java, Python, Hadoop, MySQL, MongoDB, Elasticsearch","节日福利, 餐饮补贴, 单位体检, 带薪假期, 通讯补贴, 交通补贴, 商业医疗险"
22,大模型知识-RM,重庆,重庆禹迹科技发展有限公司,5000-6000元,经验不限,本科,人工智能,,
23,大模型数据训练师,重庆,中国电信重庆分公司,1.1-1.5万,3-5年,本科,通信/网络设备,"医疗类AI训练, 政务类AI训练, 金融类AI训练, AI AGENT, Python",
24,实习生（数据处理）,重庆,重庆长安智慧城市运营管理有限公司,50-100元/天,无经验,学历不限,物业管理,数据整理、处理,
25,长安凯程-新能源大数据开发工程师（数据产品）(J23100),重庆,重庆长安凯程汽车科技有限公司,面议,3-5年,本科,零售/批发,"新能源大数据开发, 数据产品、汽车研发, 商用车、皮卡",
26,动力BU-大数据主任工程师(J14807),重庆,赛力斯集团股份有限公司,1.5-2万·13薪,5-10年,本科,汽车研发/制造,"数据治理, 数据建模, 数据库开发",
27,数据分析师 (J10319),重庆,开林企业管理集团有限公司,6000-8000元·13薪,1-3年,大专,互联网,数据治理,
28,金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第五分公司,6000-11000元,经验不限,学历不限,互联网金融/小额贷款,,"奖金加提成, 周末双休"
29,大数据治理开发工程师,重庆,中国电信重庆分公司,1-1.3万,3-5年,本科,通信/网络设备,"数据治理, ETL, 数据中台开发, Sql, Python, Java, Hadoop, Spark, Kafka",
30,大数据工程师,重庆,重庆鸿捷通信科技发展有限公司,6000-12000元,3-5年,本科,运营商/增值服务,数据开发,
31,数据信息分析,重庆,重庆九龙安保服务有限公司,6000-7000元,1-3年,大专,政府/公共事业,"Python, Sql, 数据可视化","工作餐免费, 五险一金"
32,数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
33,大数据开发工程师,重庆,重庆学一雅通信设备有限责任公司,8000-12000元,3-5年,本科,运营商/增值服务,"Hadoop, Java, Python, Scala, ETL, 数据挖掘, 数据中台开发","周末双休, 带薪假期, 五险"
34,产品经理（大数据方向）,重庆,中电智安科技有限公司,1-2万,1-3年,本科,通信/网络设备,"产品经理, 大数据产品, 数据分析, 金融产品","单位体检, 五险一金, 带薪假期, 通讯补贴, 交通补贴, 节日福利, 餐饮补贴, 周末双休"
35,数据PM,重庆,字节跳动,8000-12000元,3-5年,本科,互联网,,
36,双休医学数据专员/五险一金租房补贴/轻松无压力,重庆,山东易途人力资源有限公司,5000-6000元,经验不限,本科,人力资源服务,医学标注,"五险, 五险一金, 周末双休, 住房补贴, 绩效奖金"
37,大数据专业教师,重庆,重庆科技职业学院,4000-7000元,1-3年,硕士,学校/学历教育,"计算机类, 智能控制, 大数据",
38,大数据平台开发工程师（JAVA大数据应用）,重庆,重庆软江图灵人工智能科技有限公司,8000-12000元,3-5年,本科,人工智能,"数据治理, 数据架构, 数据库开发",
39,数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
40,金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第九分公司,5000-10000元,经验不限,大专,互联网金融/小额贷款,"Python, 全职","奖金加提成, 周末双休"
41,大数据工程师,重庆,中电智安科技有限公司,1-2万,3-5年,本科,通信/网络设备,"数据建模, 数仓开发, Java, Python, Hadoop, MySQL, MongoDB, Elasticsearch","节日福利, 餐饮补贴, 单位体检, 带薪假期, 通讯补贴, 交通补贴, 商业医疗险"
42,大模型知识-RM,重庆,重庆禹迹科技发展有限公司,5000-6000元,经验不限,本科,人工智能,,
43,大模型数据训练师,重庆,中国电信重庆分公司,1.1-1.5万,3-5年,本科,通信/网络设备,"医疗类AI训练, 政务类AI训练, 金融类AI训练, AI AGENT, Python",
44,实习生（数据处理）,重庆,重庆长安智慧城市运营管理有限公司,50-100元/天,无经验,学历不限,物业管理,数据整理、处理,
45,长安凯程-新能源大数据开发工程师（数据产品）(J23100),重庆,重庆长安凯程汽车科技有限公司,面议,3-5年,本科,零售/批发,"新能源大数据开发, 数据产品、汽车研发, 商用车、皮卡",
46,动力BU-大数据主任工程师(J14807),重庆,赛力斯集团股份有限公司,1.5-2万·13薪,5-10年,本科,汽车研发/制造,"数据治理, 数据建模, 数据库开发",
47,数据分析师 (J10319),重庆,开林企业管理集团有限公司,6000-8000元·13薪,1-3年,大专,互联网,数据治理,
48,金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第五分公司,6000-11000元,经验不限,学历不限,互联网金融/小额贷款,,"奖金加提成, 周末双休"
49,大数据治理开发工程师,重庆,中国电信重庆分公司,1-1.3万,3-5年,本科,通信/网络设备,"数据治理, ETL, 数据中台开发, Sql, Python, Java, Hadoop, Spark, Kafka",
50,大数据工程师,重庆,重庆鸿捷通信科技发展有限公司,6000-12000元,3-5年,本科,运营商/增值服务,数据开发,
51,数据信息分析,重庆,重庆九龙安保服务有限公司,6000-7000元,1-3年,大专,政府/公共事业,"Python, Sql, 数据可视化","工作餐免费, 五险一金"
52,数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
53,大数据开发工程师,重庆,重庆学一雅通信设备有限责任公司,8000-12000元,3-5年,本科,运营商/增值服务,"Hadoop, Java, Python, Scala, ETL, 数据挖掘, 数据中台开发","周末双休, 带薪假期, 五险"
54,产品经理（大数据方向）,重庆,中电智安科技有限公司,1-2万,1-3年,本科,通信/网络设备,"产品经理, 大数据产品, 数据分析, 金融产品","单位体检, 五险一金, 带薪假期, 通讯补贴, 交通补贴, 节日福利, 餐饮补贴, 周末双休"
55,数据PM,重庆,字节跳动,8000-12000元,3-5年,本科,互联网,,
56,双休医学数据专员/五险一金租房补贴/轻松无压力,重庆,山东易途人力资源有限公司,5000-6000元,经验不限,本科,人力资源服务,医学标注,"五险, 五险一金, 周末双休, 住房补贴, 绩效奖金"
57,大数据专业教师,重庆,重庆科技职业学院,4000-7000元,1-3年,硕士,学校/学历教育,"计算机类, 智能控制, 大数据",
58,大数据平台开发工程师（JAVA大数据应用）,重庆,重庆软江图灵人工智能科技有限公司,8000-12000元,3-5年,本科,人工智能,"数据治理, 数据架构, 数据库开发",
59,数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
60,金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第九分公司,5000-10000元,经验不限,大专,互联网金融/小额贷款,"Python, 全职","奖金加提成, 周末双休"
61,大数据工程师,重庆,中电智安科技有限公司,1-2万,3-5年,本科,通信/网络设备,"数据建模, 数仓开发, Java, Python, Hadoop, MySQL, MongoDB, Elasticsearch","节日福利, 餐饮补贴, 单位体检, 带薪假期, 通讯补贴, 交通补贴, 商业医疗险"
62,大模型知识-RM,重庆,重庆禹迹科技发展有限公司,5000-6000元,经验不限,本科,人工智能,,
63,大模型数据训练师,重庆,中国电信重庆分公司,1.1-1.5万,3-5年,本科,通信/网络设备,"医疗类AI训练, 政务类AI训练, 金融类AI训练, AI AGENT, Python",
64,实习生（数据处理）,重庆,重庆长安智慧城市运营管理有限公司,50-100元/天,无经验,学历不限,物业管理,数据整理、处理,
65,长安凯程-新能源大数据开发工程师（数据产品）(J23100),重庆,重庆长安凯程汽车科技有限公司,面议,3-5年,本科,零售/批发,"新能源大数据开发, 数据产品、汽车研发, 商用车、皮卡",
66,动力BU-大数据主任工程师(J14807),重庆,赛力斯集团股份有限公司,1.5-2万·13薪,5-10年,本科,汽车研发/制造,"数据治理, 数据建模, 数据库开发",
67,数据分析师 (J10319),重庆,开林企业管理集团有限公司,6000-8000元·13薪,1-3年,大专,互联网,数据治理,
68,金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第五分公司,6000-11000元,经验不限,学历不限,互联网金融/小额贷款,,"奖金加提成, 周末双休"
69,大数据治理开发工程师,重庆,中国电信重庆分公司,1-1.3万,3-5年,本科,通信/网络设备,"数据治理, ETL, 数据中台开发, Sql, Python, Java, Hadoop, Spark, Kafka",
70,大数据工程师,重庆,重庆鸿捷通信科技发展有限公司,6000-12000元,3-5年,本科,运营商/增值服务,数据开发,
71,数据信息分析,重庆,重庆九龙安保服务有限公司,6000-7000元,1-3年,大专,政府/公共事业,"Python, Sql, 数据可视化","工作餐免费, 五险一金"
72,数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
73,大数据开发工程师,重庆,重庆学一雅通信设备有限责任公司,8000-12000元,3-5年,本科,运营商/增值服务,"Hadoop, Java, Python, Scala, ETL, 数据挖掘, 数据中台开发","周末双休, 带薪假期, 五险"
74,产品经理（大数据方向）,重庆,中电智安科技有限公司,1-2万,1-3年,本科,通信/网络设备,"产品经理, 大数据产品, 数据分析, 金融产品","单位体检, 五险一金, 带薪假期, 通讯补贴, 交通补贴, 节日福利, 餐饮补贴, 周末双休"
75,数据PM,重庆,字节跳动,8000-12000元,3-5年,本科,互联网,,
76,双休医学数据专员/五险一金租房补贴/轻松无压力,重庆,山东易途人力资源有限公司,5000-6000元,经验不限,本科,人力资源服务,医学标注,"五险, 五险一金, 周末双休, 住房补贴, 绩效奖金"
77,大数据专业教师,重庆,重庆科技职业学院,4000-7000元,1-3年,硕士,学校/学历教育,"计算机类, 智能控制, 大数据",
78,大数据平台开发工程师（JAVA大数据应用）,重庆,重庆软江图灵人工智能科技有限公司,8000-12000元,3-5年,本科,人工智能,"数据治理, 数据架构, 数据库开发",
79,数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
80,金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第九分公司,5000-10000元,经验不限,大专,互联网金融/小额贷款,"Python, 全职","奖金加提成, 周末双休"
81,数据审核岗/双休/五险一金,重庆,山东易途人力资源有限公司,4000-6000元,经验不限,本科,人力资源服务,,"五险一金, 周末双休, 绩效奖金, 五险"
82,运营管培生,重庆,重庆异连科技有限公司,5000-7000元·13薪,经验不限,本科,互联网,数据分析,
83,金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第九分公司,5000-10000元,经验不限,大专,互联网金融/小额贷款,"Python, 全职","奖金加提成, 周末双休"
84,数据PM,重庆,字节跳动,8000-12000元,3-5年,本科,互联网,,
85,大模型知识-RM,重庆,重庆禹迹科技发展有限公司,5000-6000元,经验不限,本科,人工智能,,
86,运营支持专员,重庆,重庆堡食空间餐饮管理有限公司,4000-6000元,1-3年,大专,餐饮服务,"数据分析, 门店端会议统筹能力",
87,数据分析师,重庆,重庆麦芽传媒有限公司,9000-15000元,3-5年,本科,广播/影视,"Sql, Python, 报表开发",
88,数据/策略运营-管培生,重庆,重庆异连科技有限公司,5000-7000元·13薪,经验不限,本科,互联网,"平台策略, 产品策略, 商家策略, 渠道策略, 亚马逊",
89,医学标注数据分析朝九晚六周末双休五险一金,重庆,山东易途人力资源有限公司,5000-7000元,经验不限,本科,人力资源服务,临床数据分析,"周末双休, 住房补贴, 绩效奖金, 五险一金"
90,数据规划与研发岗（外包）,重庆,重庆信息通信研究院,7000-12000元,经验不限,本科,通信/网络设备,"数据治理, 数据架构",
91,运营分析,重庆,重庆市同浩聚联供应链管理有限公司,1-1.2万,3-5年,本科,咨询服务,,"绩效奖金, 节日福利, 五险一金, 周末双休"
92,订单数据助理,重庆,广州市华好日用品有限公司,4000-5000元,1-3年,大专,快速消费品,订单制作,
93,销售数据分析,重庆,平安融易(黑龙江)信息服务有限公司重庆第五分公司,5000-10000元,经验不限,本科,互联网金融/小额贷款,"全职, Python",
94,运营分析专员,重庆,中国汽研,7000-10000元,3-5年,本科,汽车研发/制造,"销售数据运营, 经营数据分析, 市场数据分析",
95,销售经理助理,重庆,中国人寿保险股份有限公司重庆市沙坪坝区支公司,4000-7000元,1-3年,大专,保险,"双休, 五险一金","五险一金, 周末双休"
96,客户服务岗,重庆,安盛天平财产保险有限公司,4000-7000元,1-3年,本科,保险,"数据分析, 公文写作","单位体检, 五险一金, 高温补贴, 全勤奖金, 带薪假期, 节日福利, 餐饮补贴"
97,数据专员,重庆,海南乐孕生物科技有限公司,4000-6000元,3-5年,大专,生物工程,,
98,大数据工程师,重庆,重庆康洲大数据(集团)有限公司,9000-18000元,经验不限,大专,医药制造,"Spark, Kafka, Hive, Elasticsearch",
99,双休医学数据专员/五险一金租房补贴/轻松无压力,重庆,山东易途人力资源有限公司,5000-6000元,经验不限,本科,人力资源服务,医学标注,"五险, 五险一金, 周末双休, 住房补贴, 绩效奖金"
100,bi-,重庆,软通动力信息技术(集团)股份有限公司,1.1-1.5万,5-10年,本科,互联网,数据治理,
101,Python开发工程师,北京,北京融创智合科技有限公司,1.2-1.8万,3-5年,本科,计算机软件,"Python, Django, Flask, 后端开发, Celery, MySQL","单位体检, 五险一金, 交通补贴, 节日福利, 餐饮补贴, 环境好, 周末双休, 十三薪, 加班补贴"
102,python后端开发工程师,深圳,外企德科,3-3.5万,3-5年,本科,人力资源服务,"MongoDB, Docker, K8s",
103,Python开发工程师,温州,浙江精通自动控制技术有限公司,5000-8000元·13薪,经验不限,本科,电子/半导体/集成电路,"数据抓取, 机器学习, python爬虫, Linux","五险一金, 全勤奖金, 包住, 带薪假期, 十三薪, 团建旅游, 节日福利, 餐饮补贴"
104,Python工程师,成都,格星微电子科技成都有限公司,8000-14000元,1-3年,本科,计算机硬件,"RS485, RS232, Docker",
105,Python Engineer,上海,外企德科,1.5-1.8万,5-10年,本科,人力资源服务,Python,
106,python工程师,无锡,无锡秉杰机械有限公司,1-2万,1-3年,本科,仪器仪表制造,"Python web框架, Python并发框架, Python可视化库, 后端开发, 逆向开发, 图形图像处理",
107,python后端开发工程师-BJ,北京,天津浩源汇能股份有限公司北京分公司,1.5-2.5万,3-5年,本科,仪器仪表制造,"软件工程, Java, Python, MySQL, Axure",
108,python开发工程师,深圳,外企德科,2.8-3.5万,5-10年,本科,人力资源服务,"Python, MongoDB",
109,Python程序员 AI虚拟换装开发,深圳,深圳市宇星达电子商务有限公司,1.5-2.8万,经验不限,学历不限,电子商务,"Python, AI, 换装, COMFYUI, FITDIT, OOTDIFFUSION, IDM-VTON",
110,python 工程师,重庆,中晨高(重庆)科技有限公司,5000-7000元,经验不限,本科,电子商务,MySQL,"单位体检, 奖金加提成, 五险一金, 周末双休, 节日福利, 绩效奖金"
111,python开发工程师（23/24届）,杭州,东营网新信息科技有限公司,8000-15000元,无经验,本科,通信/网络设备,,
112,python全栈工程师,西安,西安正麦科技有限公司,7000-10000元,经验不限,大专,计算机软件,,
113,"工具开发工程师（会python,java)",西安,成都山康技术服务有限公司,1-1.8万,3-5年,大专,网络/信息安全,"Java, Python",
114,python爬虫工程师,成都,广州菁灵科技有限公司,1.3-1.6万,经验不限,学历不限,人力资源服务,,
115,C+，Python web开发工程师,新乡,中创智能(河南)科技有限公司,7000-14000元,1-3年,大专,工业自动化,"Flask, Linux, MySQL, C++, Sql",
116,python后端开发工程师（实习）,北京,北京摩湃得科技有限公司,220-230元/天,无经验,本科,互联网,"MySQL, Redis, Python",
117,python爬虫工程师,成都,广州菁灵科技有限公司,1.3-1.6万,经验不限,学历不限,人力资源服务,,
118,Python工程师,贵阳,贵州善阳商务咨询有限公司,6000-8000元,1-3年,本科,银行,"Django, Flask, FASTAPI, MySQL, MongoDB",五险
119,Python实习生,天津,允思拓(天津)生物科技有限公司,1000-2000元·13薪,无经验,本科,专业技术服务,"Django, Flask",
120,python爬虫工程师,成都,广州菁灵科技有限公司,1.3-1.6万,经验不限,学历不限,人力资源服务,,
121,python工程师/算法工程师,贵阳,贵州工匠行大数据产业发展有限公司,4000-5000元,无经验,本科,云计算/大数据,,
122,Python实习生,郑州,滑县巨旺商贸有限公司,6000-9000元,经验不限,大专,电子商务,,
123,python爬虫工程师,成都,广州菁灵科技有限公司,1.3-1.6万,经验不限,学历不限,人力资源服务,,
124,python开发助理,西安,西安正麦科技有限公司,5000-10000元,经验不限,本科,计算机软件,"MySQL, Sql","五险一金, 周末双休, 签订劳动合同"
125,python后端开发工程师,宁德,宁德岭阳电子科技有限公司,5000-10000元·13薪,1-3年,大专,电子/半导体/集成电路,MySQL,
126,Python,长春,广州菁灵科技有限公司,1.3-1.6万,3-5年,学历不限,人力资源服务,,
127,IT互联网类/python开发,上海,上海励汇企业管理咨询有限公司,1.6-2.4万,经验不限,大专,保险,"Java, C++, Sql, Django, Tornado, Flask, MySQL, PostgreSQL, Oracle, 性能测试, 功能测试, 系统测试",
128,python后端开发工程师,咸宁,微分视界信息科技(西安)有限公司,1.1-1.5万,经验不限,学历不限,企业服务,,
129,python高级开发工程师,太原,山西约瑟网络科技有限公司,1-1.5万,5-10年,学历不限,计算机软件,"Java, JavaScript, Python, MySQL",
130,Python服务端实习生,福州,福建天志互联信息科技股份有限公司,3000-4000元,经验不限,大专,互联网,"HTML, CSS, JS","单位体检, 法定节假日休, 周末双休, 团建福利, 带薪假期, 节日福利"
131,python逆向爬虫工程师,郑州,新疆西域畅游国际旅行社有限公司,6000-12000元,5-10年,大专,电子商务,,
132,Python实习生,济源市,河南锐伴传媒科技有限公司,5000-9000元·13薪,经验不限,学历不限,广播/影视,"Java, Sql, C++, Django, Tornado, Flask, MySQL, PostgreSQL, Oracle","五险一金, 带薪假期, 餐饮补贴, 周末双休, 住房补贴, 年终奖金, 法定节假日休, 十三薪"
133,高级python,石家庄,石家庄领皓专利代理有限公司,8000-12000元,3-5年,大专,咨询服务,"Flask, Django",
134,python全栈开发工程师,北京,北京阿提拉科技有限公司,1.6-2.4万,3-5年,大专,计算机软件,"Python, Pandas, 全栈",
135,Python实习生,郑州,河南锐伴传媒科技有限公司,6000-9000元·13薪,经验不限,学历不限,广播/影视,"Java, C++, JavaScript, Django, Tornado, Flask, MySQL, PostgreSQL, Oracle",
136,Python开发助理,郑州,郑州九墨智能科技有限公司,7000-8000元,经验不限,本科,计算机软件,"Java, Python",
137,python爬虫工程师,成都,广州菁灵科技有限公司,1.3-1.6万,经验不限,学历不限,人力资源服务,,
138,python后端开发工程师,济源市,河南锐伴传媒科技有限公司,6000-9000元·13薪,经验不限,学历不限,广播/影视,"Java, Sql, C++, Django, Tornado, Flask, MySQL, PostgreSQL, Oracle",
139,Python开发工程师,深圳,大连弗斯特高新人才发展管理有限公司,2.3-4万·14薪,3-5年,大专,咨询服务,"Python, MATLAB, 可靠性测试, 英语","单位体检, 带薪假期, 六险一金, 年终奖金, 拓展培训"
140,python爬虫工程师,成都,广州菁灵科技有限公司,1.3-1.6万,经验不限,学历不限,人力资源服务,,
141,python开发工程师（23/24届）,北京,东营网新信息科技有限公司,8000-15000元,无经验,本科,通信/网络设备,,
142,python开发工程师（大小周，包食宿）,汕头,汕头市卓雅玩具有限公司,5000-8000元,3-5年,大专,贸易/进出口,"Python, MySQL, Django",包吃包住
143,python开发工程师（24届、25届可投）,西安,西安软玥信息技术有限公司,6000-9000元,经验不限,本科,计算机软件,"Sql, Shell, Java, PyQt, MySQL, Oracle, Redis",
144,python开发工程师（23/24届）,上海,东营网新信息科技有限公司,8000-15000元,无经验,本科,通信/网络设备,,
145,python后端软件开发,兰州,北京德辉睿源咨询有限公司,9000-17000元,经验不限,本科,电力/水利/热力/燃气,Java,
146,python工程师,广州,广州市欣南信息科技有限公司,3000-4000元,经验不限,大专,IT服务,,
147,python开发,北京,天津市联众伟业劳务派遣有限公司,2-2.2万,经验不限,学历不限,人力资源服务,,
148,Python工程师(DSL),上海,大连弗斯特高新人才发展管理有限公司,2.5-3万·13薪,5-10年,大专,咨询服务,"Python, NPI, 工厂经验",
149,Python开发工程师,日本,大连思凯软件科技有限公司,1.8-3万·13薪,1-3年,大专,计算机软件,"Python, 日语",
150,python后端开发工程师,荆州,微分视界信息科技(西安)有限公司,1.3-1.7万,经验不限,学历不限,企业服务,,
151,赴日python开发工程师,日本,ネットエンジン株式会社,1.5-3万,3-5年,大专,计算机软件,Python,"年终分红, 单位体检, 股票期权, 团建旅游"
152,python后端开发工程师,济南,济南凡龙文化传媒有限公司,5000-9000元,1-3年,大专,新媒体,Java,
153,python全栈工程师/软件开发/应届生/全职,济南,济南灿卓贸易有限公司,6000-9000元,经验不限,本科,零售/批发,Python,
154,郑州python实习全栈,郑州,上海玉带信息技术有限公司,1000-2000元,经验不限,学历不限,计算机软件,"郑州, Java, 微信项目, 小程序, Flask",
155,Python开发,深圳,广州酷得数字科技有限公司,4000-5000元,经验不限,大专,IT服务,Python,高提成
156,python少儿编程辅导老师,成都,西安长泽辰星教育科技有限公司,6000-10000元,1年以下,本科,在线教育,"Python, Scratch, 助教, 线上教育","奖金加提成, 带薪假期, 六险一金, 体检免费, 无责底薪, 工作餐免费, 周末双休"
157,Python 数据处理工程师[兼职],成都,北京遥领医疗科技有限公司,3000-4000元/次,经验不限,本科,卫生服务,,
158,Python开发工程师（赴日）,日本,株式会社GSD,2.1-4万,1-3年,本科,计算机软件,"Java, .NET, C语言, C++, Python",
159,赴日Python，Cobol，C/C++技术经验者募集,大连,株式会社翰海,1.3-2.5万,5-10年,大专,通信/网络设备,"Python, C++, C, Django, Oracle, GO","单位体检, 五险一金, 周末双休, 带薪假期, 加班补贴, 晋升空间大, 交通补贴"
160,python开发,苏州,微联数智(大连)信息技术有限公司,1.5-1.6万,3-5年,大专,计算机软件,"Python, Django",
161,软件工程师（python）,哈尔滨,哈尔滨宇高电子技术有限公司,5000-8000元,经验不限,本科,仪器仪表制造,"Sql, PyQt",
162,网站开发　PHP开发　Python开发,杭州,杭州计算机学校,6000-10000元,经验不限,本科,培训/辅导服务,,"全勤奖金, 带薪假期, 包住, 住房补贴, 加班补贴, 通讯补贴, 交通补贴"
163,python后端开发工程师,苏州,上海朗裕信息科技有限公司,8000-12000元,3-5年,大专,计算机软件,"Django, PYHTON",
164,Python,苏州,广州菁灵科技有限公司,1.3-1.6万,3-5年,学历不限,人力资源服务,,
165,python少儿编程辅导老师,西安,西安长泽辰星教育科技有限公司,6000-10000元,1年以下,本科,在线教育,"Python, Scratch, 助教, 线上教育","奖金加提成, 带薪假期, 六险一金, 体检免费, 无责底薪, 工作餐免费, 周末双休"
166,Python（长期项目）,成都,成都迈思信息技术有限公司,1-1.1万,3-5年,大专,计算机软件,Python,
167,Python开发工程师（独栋办公楼➕五险一金➕单双休）,郑州,北京环球优路教育科技股份有限公司,8000-15000元,1-3年,本科,培训/辅导服务,"Django, Tornado, MongoDB, MySQL","周末双休, 五险一金"
168,python 大模型经验,青岛,深圳市睿服科技有限公司,1.4-2万,3-5年,本科,IT服务,"Django, Flask, SQL, MySQL, PostgreSQL, Oracle, 大模型, 数据迁移",
169,python爬虫工程师（兼职）,郑州,海天工程咨询有限公司,5000-10000元,1-3年,大专,咨询服务,"分布式爬虫, Python, Python爬虫框架, 数据清洗, 数据采集",
170,技术开发岗（Python 方向）,太原,山西四元信息科技有限公司,6000-10000元,经验不限,本科,计算机软件,"PyQt, C++, Sql, PHP","五险一金, 带薪假期, 节日福利"
171,python,大连,大连运筹科技有限公司,8000-11000元,3-5年,学历不限,计算机软件,"Django, Python",
172,python前端开发工程师,西安,西安景安云创电子科技有限公司,5000-10000元,经验不限,大专,计算机软件,"Django, Flask, SQLServer, NoSQL, Sql",
173,python或者R语言工程师,苏州,苏州木芮生物科技有限公司,5000-7000元,经验不限,学历不限,学术/科研,,
174,python工程师,秦皇岛,滨沅国科(秦皇岛)智能科技股份有限公司,5000-10000元,1-3年,本科,工业自动化,,
175,高级python爬虫工程师(薪资1W-1W5）,郑州,河南恩次方网络科技有限公司,1-1.5万,1-3年,大专,新媒体,"Flask, MySQL, Redis, MongoDB","节日福利, 五险一金, 工伤保险, 带薪假期, 失业保险, 生育保险, 商业医疗险, 养老保险"
