id,position,city,company,salary,experience,education,industry,skills,benefits
692,Python 工程师,北京,北京侏罗纪信息科技有限公司,1-1.8万,3-5年,本科,计算机软件,"MongoDB, MySQL, PostgreSQL",
693,python开发工程师,上海,软通动力信息技术(集团)股份有限公司,1.2-1.7万,1-3年,本科,互联网,"Python web框架, Python并发框架, Django",
694,python后端开发工程师,成都,浙江邦芒企业服务有限公司,1.2-1.5万,3-5年,大专,企业服务,"Java, Sql, C++, Django, MySQL, PostgreSQL, Oracle","五险一金, 五险, 周末双休"
695,PYTHON开发工程师,西安,陕西科维立创科技股份有限公司,8000-13000元,1-3年,本科,客运服务,Python,
696,python开发工程师,深圳,软通动力信息技术(集团)股份有限公司,1.2-1.8万,经验不限,本科,互联网,"Python, Vue, Pandas, NumPy",
697,python工程师,北京,中芯未来(北京)科技有限公司,1.3-1.8万,1-3年,本科,计算机软件,"JavaScript, Python, Django, Flask, MySQL, PostgreSQL, MongoDB, HTML, CSS",
698,Python开发工程师,上海,上海现代通用识别技术有限公司,1.5-2万,3-5年,本科,互联网,"Django, Flask, SQLServer, Oracle, MySQL",
699,Python开发工程师,深圳,软通动力信息技术(集团)股份有限公司,1.1-1.8万,3-5年,本科,互联网,"Python, NumPy, Flask, 数据库, 机器学习, 数据挖掘, Django, 后端开发","单位体检, 五险一金, 绩效奖金, 带薪假期, 加班补贴"
700,Python模型训练工程师,上海,首聘(北京)科技有限公司,1.6-1.7万,3-5年,本科,企业服务,"PROMPT调优, Flask",
701,012-后端开发工程师（Python）,上海,武汉佰钧成技术有限责任公司,2.3-2.5万,1-3年,本科,计算机软件,"Shell, pytorch, DEEPSPEED, 深度学习, Python",
702,python后端开发工程师,北京,软通动力信息技术(集团)股份有限公司,1-1.8万,3-5年,本科,互联网,"Redis, MySQL, Python",
703,python后端开发工程师（人工智能方向）,上海,eDoctor,1.5-3万,3-5年,本科,广告/营销,,
704,python-数据,上海,北京瑞友科技股份有限公司,1.6-2万·13薪,3-5年,本科,互联网,"Python, Pandas, NumPy",
705,Python开发工程师,深圳,深圳市紫川软件有限公司,1-1.6万,3-5年,本科,计算机软件,"Django, Pandas, NumPy, Scipy",
706,python开发工程师-基金行业,北京,北京神州新桥科技有限公司,1.7-2万,5-10年,本科,IT服务,"Pandas, NumPy, Python",
707,Python开发工程师,西安,数字旅通(西安)科技有限公司,1-1.5万,3-5年,本科,景区/商业/市场等综合管理,,
708,python-北京,北京,黑龙江海康软件工程有限公司,1.3-1.7万,3-5年,本科,计算机软件,,
709,高级python开发工程师,上海,大连思泰克科技有限公司,1.5-3万,10年以上,本科,计算机硬件,"Django, Flask, WEB应用程序, SQLServer, MongoDB",
710,python工程师/算法工程师,无锡,无锡秉杰机械有限公司,1.2-2.2万,3-5年,本科,仪器仪表制造,,
711,python运维开发工程师,北京,维恩贝特科技有限公司,1.3-1.8万,5-10年,本科,计算机软件,Sql,
712,python,厦门,厦门云当网络科技有限公司,6000-10000元,1-3年,本科,互联网,PyQt,
713,Python开发（韩国最大电商+3个月短期外包）,上海,万宝盛华企业管理咨询（上海）有限公司,1.3-2.5万,经验不限,本科,咨询服务,"Python, Django, Flask, MySQL, Prometheus, Grafana",
714,python开发工程师,南京,深圳市睿服科技有限公司,1.1-1.5万,3-5年,本科,IT服务,"C++, OCR, Python",
715,python开发工程师,杭州,软通动力信息技术(集团)股份有限公司,1.1-1.8万,1-3年,本科,互联网,MySQL,
716,python web 开发,南京,武汉佰钧成技术有限责任公司,1.8-2.4万,3-5年,大专,计算机软件,"Java, PYTHON WEB 开发, Redis, MySQL",
717,python软件工程师,武汉,武汉东隆科技有限公司,1-1.5万·14薪,3-5年,本科,电子/半导体/集成电路,Python,
718,python后端开发工程师,清远,维谛技术服务(深圳)有限公司,8000-12000元,1-3年,本科,运营商/增值服务,"数据结构, Go, MySQL, Redis, Python",
719,python后端开发工程师,青岛,深圳市睿服科技有限公司,1.2-1.4万,3-5年,本科,IT服务,"Java, Shell, MySQL",
720,python,苏州,同方鼎欣科技股份有限公司,1-1.1万,3-5年,本科,IT服务,Python,
721,python后端开发工程师,上海,首聘(北京)科技有限公司,1.6-1.7万,3-5年,本科,企业服务,"FASTAPI, Flask, Python, PROMPT 调优, AIGC、NLP 或 CV",
722,Python开发,深圳,博彦科技承德有限公司,1.6-1.8万,1-3年,本科,IT服务,"Shell, Python, 数据湖, 数据仓, MySQL",
723,Python开发工程师,苏州,软通动力信息技术(集团)股份有限公司,1-1.5万,1-3年,本科,互联网,"Django, Flask, Linux, Python","单位体检, 五险一金, 绩效奖金, 周末双休, 节日福利"
724,python后端开发工程师,青岛,深圳市睿服科技有限公司,1-1.3万,5-10年,本科,IT服务,"SQL, 数据开发, Oracle, Shell",
725,外企Python开发-英语读写-驻场,北京,大连思泰克科技有限公司,1.5-2.5万·13薪,3-5年,本科,计算机硬件,"Django, Flask, Python",
726,Python,深圳,软通动力信息技术(集团)股份有限公司,1-1.2万,1-3年,本科,互联网,,
727,python后端开发工程师,成都,湖南拓维云创科技有限责任公司,8000-12000元,1-3年,本科,互联网,"MySQL, Django","单位体检, 五险一金, 晋升速度快, 周末双休, 带薪假期, 节日福利, 晋升空间大"
728,python开发工程师,沈阳,辽宁岳能科技有限公司,8000-12000元,1-3年,本科,计算机软件,后端开发,
