职位,城市,公司,薪资,经验,学历,领域,技能,福利
高薪客服长白班双休,南宁,本初人力资源,6000-12000元,经验不限,中专/中技,人力资源服务,"网络客服, 全白班","带薪假期, 季度奖金, 零食/下午茶, 高提成, 带薪培训, 周末双休, 社会保险"
门窗行业销售经理,沈阳,辽宁鹰格门窗有限公司,5000-10000元,1-3年,学历不限,装饰装修,代理商/经销商,
医药销售代表,贵阳,贵州九医堂医疗器械有限公司,8000-12000元,经验不限,大专,医疗设备/器械,"中药, 药食同源, 中药销售","团建福利, 五险一金, 带薪培训, 周末双休, 年终奖金, 包住, 一对一培训, 高提成"
山西朔州商务经理,朔州,北京达飞安评管理顾问有限公司,8000-12000元,3-5年,大专,专业技术服务,"商务合作, 面销/陌拜, 政府客户, 企业客户","单位体检, 绩效奖金, 带薪假期, 周末双休, 通讯补贴, 节日福利, 餐饮补贴, 高提成, 五险"
网约车高德打车自营司机,长沙,湖南沃喜汽车销售服务有限公司,7000-12000元,经验不限,学历不限,新能源汽车,"商业保险, 底薪加提成, 弹性工作制, 全职兼职均可","底薪加提成, 商业保险, 高提成, 工资周结"
销售助理,上海,兆科药业(广州)有限公司,6000-8000元·13薪,1年以下,大专,医药制造,"销售助理, 行政专员, 考勤",
综合标书文员,佛山,佛山市迪卡伦家具有限公司,5000-10000元,经验不限,大专,家具制造,投标,包住
项目经理助理,福州,福清鑫荣金属制品有限公司,5000-6000元,经验不限,中专/中技,工程施工,,
工程维保人员,广州,广州市九丞科创有限公司,5000-7000元·13薪,5-10年,学历不限,景区/商业/市场等综合管理,土建工程,
汽车钣金技师,南通,南通宝致行汽车销售服务有限公司,7000-12000元,3-5年,中专/中技,汽车4S店/经销商,,
物业工程维修技工,无锡,乐奥生活服务集团有限公司,4000-5000元·13薪,经验不限,学历不限,房地产开发,"配电设备, 水电管道, 电梯设备",
建材厂家渠道销售,阜阳,金德管业集团有限公司,7000-14000元,1-3年,学历不限,橡胶和塑料制品,面销/陌拜,"拓展培训, 无责底薪, 带薪培训, 交通补贴, 高提成, 包住, 晋升速度快"
EMC电磁兼容测试工程师,郑州,翔宇医疗,9000-18000元,1-3年,大专,医疗设备/器械,"电磁兼容检测, 电磁兼容测试, EMC32, 五险一金, 免费住宿、吃饭补贴","五险一金, 餐饮补贴, 包住"
业务主管,莆田,酒鬼酒供销有限责任公司,7000-10000元,3-5年,大专,快速消费品,"KA大客户, 企业客户, 个人客户, 渠道销售, 区域销售, 门店销售",
招聘铲车司机 包吃,长沙,亚普股份,5000-6000元·15薪,1-3年,学历不限,汽车研发/制造,叉车,"年终奖金, 单位体检, 包吃, 五险一金, 高温补贴, 带薪假期, 包住"
保险营销员,北京,中信保诚人寿保险有限公司北京分公司(天骄理财部),1.5-3万,3-5年,大专,保险,"销售, 续保, 理赔, 养老险, 理财保险, 寿险",绩效奖金
python自动化测试,东莞,软通动力信息技术(集团)股份有限公司,1.1-1.6万,3-5年,本科,互联网,,
车间主任助理,威海,威海市浪宝渔具有限公司,4000-7000元,5-10年,大专,金属制品业,机电一体化,"五险一金, 高温补贴, 加班补贴, 免费班车, 节日福利"
会计助理,昆明,昆明金账务企业管理有限公司,2000-3000元,无经验,学历不限,财务/审计/税务,,
招聘顾问/招聘专员,西安,软通动力信息技术(集团)股份有限公司,4000-7000元,1-3年,大专,互联网,招聘顾问,
QA技术员,无锡,无锡安迈科技有限公司,6000-8000元,3-5年,中专/中技,金属制品业,机械识图三次元二次元QA技术员,
医疗器械销售,郑州,河南然炫贸易有限公司,3000-6000元,经验不限,大专,医疗设备/器械,"内科, 公立医院","绩效奖金, 五险, 带薪假期, 周末双休, 年终奖金"
酒店前厅礼宾经理,秦皇岛,秦皇岛阿那亚商业管理有限公司,6000-8000元,3-5年,大专,旅游服务,八小时工作制,
保健酒销售,亳州,天马(安徽)国药科技股份有限公司,4000-8000元,3-5年,大专,医药制造,"大客户（KA）, 销售专员, 城市经理, 渠道销售, 门店销售, 面销, 地推销售, 个人客户（2C）",
仪器分析检验员,临沂,山东济坤生物制药有限公司,4000-7000元,1-3年,大专,医药制造,,
化验员,泰安,泰安泰宠宠物食品有限公司,4000-5000元,1-3年,大专,农/林/牧/渔,"理化检测, 微生物检测, 色谱检测",
外贸业务员 双休 近地铁,深圳,深圳市建恒测控股份有限公司,6000-12000元,经验不限,大专,仪器仪表制造,英语,周末双休
长沙市场专员,长沙,新东方教育科技集团有限公司,1-1.5万,经验不限,本科,培训/辅导服务,"市场推广, 市场策划",
建材销售总监,沈阳,山东九威建材科技有限公司,5-10万,经验不限,学历不限,新材料,"代理商销售, 区域销售, 面销/陌拜, 企业客户",
学生处处长,遂宁,遂宁职业学院,5000-10000元·13薪,3-5年,本科,学校/学历教育,"大学, 职业学校, 教务处学生管理",
工业事业部副总经理,沈阳,中科宝鹿新材料(辽宁)有限公司,2.1-3万,5-10年,大专,新材料,销售管理,
电气工程师,杭州,浙江盛唐环保科技有限公司,7000-9000元,1-3年,大专,环保,电气安装调试,
健康管理师营养师健康顾问,烟台,烟台赛春生物科技有限公司,4000-8000元,1年以下,高中,医疗设备/器械,"门店销售, 渠道销售, 个人客户, 健康管理师一级, 健康管理师, 营养师, 区域经理","奖金加提成, 高提成, 五险"
短视频摄像剪辑师,济南,山东愉和社区服务有限公司,7000-12000元,3-5年,大专,居民服务,短视频,
仓库文员,苏州,太仓市意诚塑业有限公司,4000-7000元,3-5年,高中,橡胶和塑料制品,,"绩效奖金, 奖金加提成, 高提成"
