职位,城市,公司,薪资,经验,学历,领域,技能,福利
商控地区经理 （零售）,天津,成都地奥制药集团,8000-15000元,3-5年,大专,医药制造,"OTC药品, 处方药, 内科, 心血管内科, 渠道销售, 区域销售",
招聘电工 五险一金 包午餐,苏州,上海剑平动平衡机制造有限公司,6000-8000元,1-3年,中专/中技,电气机械/电力设备,装配电工,"工作餐免费, 五险一金, 包住"
饰品店店长,合肥,安徽法润贸易有限公司,6000-10000元·13薪,3-5年,大专,零售/批发,饰品店,现金福利
排版设计,成都,成都汇思优辞教育咨询有限公司,5000-8000元,1-3年,本科,新闻/出版,"封面设计, 版式设计, 图书排版","绩效奖金, 节日福利, 全勤奖金"
独立律师,成都,四川品默(天府)律师事务所,1.5-3万,3-5年,本科,法律服务,,坐班
医药代表（重庆）,重庆,远大生命科学(辽宁)有限公司,8000-16000元,1-3年,本科,医药制造,全科医疗科,
行业销售总监 1名,北京,国科电雷(北京)电子装备技术有限公司,3-5万,5-10年,本科,电子/半导体/集成电路,,"五险一金, 绩效奖金, 带薪假期, 节日福利, 股票期权, 高提成"
计划员,厦门,沛乐迪(厦门)科技有限公司,5000-7000元,1-3年,大专,电气机械/电力设备,生产计划与物料控制,"包吃, 十三薪, 五险, 涨薪, 免费班车, 节日福利"
外贸销售,常州,江苏维尔生物科技有限公司,5000-8000元,1-3年,本科,医疗设备/器械,,
java开发工程师（济南研发中心）,济南,中电信翼康科技有限公司,1-2万,3-5年,本科,计算机软件,,
安全员（河沐生态）,北京,北京金河水务建设集团有限公司,6000-8000元,1-3年,本科,房地产开发,安全员C本,"单位体检, 包吃, 五险一金, 高温补贴, 包住, 年终奖金, 节日福利"
医药销售经理,阿克苏,陕西天鼎医药有限公司,8000-16000元,1-3年,大专,医药批发/零售,"OTC药品, 药店, 直销, 贴柜培训, 慢病管理, 连锁药店","法定节假日休, 周末双休, 就近分配, 高提成"
国际贸易办事处经理（越南语）,南通,江苏巨力钢绳有限公司,1.3-1.5万,经验不限,本科,金属制品业,英语,"五险, 五险一金"
空间设计师,成都,力方数字科技,1.2-1.5万,1-3年,本科,装饰装修,"SketchUp, 施工图设计, 效果图设计, 展馆, 博物馆, 文旅项目","五险一金, 绩效奖金, 带薪假期, 团建旅游"
平面设计CXJ+双休,成都,蝉先觉(四川)品牌营销策划有限公司,6000-8000元,1-3年,大专,咨询服务,"VI设计, 方案设计, 标识导视设计, PS, AI, ID",周末双休
销售经理,郑州,天津美腾科技股份有限公司,7000-12000元,3-5年,本科,仪器仪表制造,区域经理,
外贸业务员（英语、俄语）,郑州,河南富特重型机械有限公司,6000-12000元,1-3年,大专,电气机械/电力设备,"英语可用于工作, 外贸岗位, 高提成, 俄语, 英语","团建旅游, 节日福利, 高提成"
招标专员,海口,海南全星制药有限公司,5000-6000元,1年以下,本科,医药制造,,"五险一金, 周末双休, 加班补贴, 免费班车, 节日福利"
精密装备集成验证工程师,深圳,深圳市新凯来技术有限公司,2.5-4.5万·14薪,经验不限,硕士,电子/半导体/集成电路,"C语言, C++, Python, ZEmax",高提成
生产总监,淄博,淄博纽氏达特机器人系统技术有限公司,1-1.8万,5-10年,本科,工业自动化,生产现场管理,拓展培训
项目经理,太原,上海廷烁智工信息科技有限公司,7000-10000元,5-10年,本科,人工智能,"PMP, 系统集成项目管理工程师",
高级销售经理,绍兴,浙江钠创新能源有限公司,1.3-2.5万·16薪,5-10年,大专,新能源,"区域销售, 渠道销售, 企业客户, KA大客户",
全盘会计主管,鄂州,大正财税服务(鄂州)集团有限公司,5000-7000元,3-5年,学历不限,企业服务,小规模和一般纳税人  记账 报税,"节日福利, 加班补贴, 交通补贴, 周末双休, 餐饮补贴"
急聘眼科医生,南京,慈铭健康体检管理集团南京有限公司,6000-8000元,经验不限,大专,卫生服务,职业医师证,"体检免费, 五险一金, 带薪假期, 家属关怀, 工龄奖金, 节日福利, 通讯补贴, 法定节假日休, 餐饮补贴"
系统测试工程师（苏州）,苏州,维恩贝特科技有限公司,1-1.5万,3-5年,本科,计算机软件,"软件测试, 系统测试, 通信测试",
临床监查员（CRA）,广州,广州汇智成功药物研究有限公司,8000-15000元·13薪,1-3年,本科,专业技术服务,,"五险一金, 绩效奖金, 十三薪, 团建旅游, 交通补贴, 项目奖金, 餐饮补贴"
三维建模师,沈阳,沈阳新松虚拟现实产业技术研究院有限公司,6000-10000元,1-3年,本科,计算机软件,"视觉设计, 3D建模, MAYA, 3D MAX, ZBrush, Substance","五险一金, 绩效奖金, 带薪假期, 餐饮补贴, 差旅补贴"
酒店装修设计师,济南,山东凡创网络科技有限公司,4000-8000元,3-5年,本科,装饰装修,"酒店装修设计, 设计师, 酒店",奖金加提成
激光一字线光源产品负责人,西安,众为科技,1-1.5万,1-3年,硕士,电子/半导体/集成电路,"研发, 工艺设计, 管理",
河南ka经理（驻地郑州）,郑州,广州朗圣药业有限公司,6000-12000元,3-5年,大专,医药制造,"直销, 渠道销售, 省区经理, 大客户（KA）, 医药行业, 处方药, otc, 销售, 方案制定",
嵌入式开发工程师,南京,江苏迪肯工业科技股份有限公司,1.2-2.4万,3-5年,本科,工业自动化,"ARM处理器, PIC单片机, C语言",
会计出纳,北京,北京国金源富科技有限公司,100-200元/天,无经验,本科,电力/水利/热力/燃气,"会计从业资格证书, 会计初级职称",
服装设计师（户外）,北京,依文集团,1.2-2万,3-5年,本科,服装/纺织/皮革,"女装, 男装",
汽车外饰设计工程师,沈阳,上海艾福亿维新能源科技有限公司北京分公司,7000-10000元,3-5年,本科,新能源汽车,外饰设计,
技术型销售经理,苏州,苏州工业园区洛加大先进技术研究院,8000-15000元,3-5年,本科,社团/组织/社会保障,"医疗机构, 企业客户, 区域销售, 渠道销售, 网络销售",
高性能系统芯片研究,北京,中国科学院微电子研究所,1-2万,经验不限,博士,电子/半导体/集成电路,"存储芯片, 模拟芯片, 微处理器, 数字后端设计, 数字前端设计, 架构设计",
大客户经理,大连,沐淇文化传媒(大连)有限公司,1-1.5万,1-3年,本科,新媒体,面销/陌拜,
4S店销售经理（渝北新牌坊）,重庆,重庆怡和集团/重庆江铃汽车销售服务有限公司,8000-13000元,1-3年,大专,汽车4S店/经销商,门店销售,"工作餐免费, 年终奖金, 节日福利, 团建福利, 生日福利, 绩效奖金, 带薪假期, 五险"
采购主管/经理,北京,海外远景(北京)科技有限公司,1.5-2.2万,3-5年,本科,电力/水利/热力/燃气,"招标采购, 渠道采购, 招商采购, 集中采购","单位体检, 五险一金, 绩效奖金, 带薪假期, 年终奖金, 节日福利, 有食堂, 周末双休, 包住"
安全质量经理,成都,中船(四川)生态环境有限公司,8000-15000元,5-10年,本科,环保,"注册安全工程师, 安全生产管理, 安全工程","通讯补贴, 五险一金, 交通补贴, 带薪假期, 餐饮补贴"
shopee/lazada运营主管,广州,广州市货通全球电子商务有限公司,9000-15000元,3-5年,本科,电子商务,"Shopee, TikTok, lazada, 精品运营, 英语, 数据分析, 跨境电商, 东南亚","五险一金, 法定节假日休, 零食/下午茶, 五险, 年终分红"
外贸经理,淄博,山东万硕光电设备有限公司,7000-12000元,1-3年,本科,电子/半导体/集成电路,"中国制造网, 阿里巴巴国际站, 英语","五险一金, 五险"
PACK系统工程师,长沙,三一集团有限公司,2-3万·16薪,5-10年,本科,专用设备制造,"锂电池, 设计, 研发",
基因检测销售代表（南宁）,南宁,西安中科茵康莱医学检验有限公司,4000-8000元,1-3年,本科,医疗检测,"基因检测产品, 高值耗材, 感染科, 呼吸科, 神经内外科, 直销, 区域销售, 抗生素",
个险产品商务经理,深圳,梧桐树保险经纪有限公司,1.5-3万,3-5年,本科,保险,"企业客户（2B）, 产品渠道开拓, 产品分析, 产品引进, 渠道合作",
医疗律师,北京,北京四惠中医医院有限责任公司,2.5-4万,3-5年,本科,卫生服务,医疗健康,
区域医学主管,上海,山东谷雨春生物科技有限公司,1.5-3万,3-5年,本科,医药制造,"区域医学, 医美",
海外国家财务经理,成都,广东博达科技有限公司,3-4万·14薪,5-10年,本科,贸易/进出口,"成本管理, 资金管理, 税务管理",
海外营销代表（阿语）(J13204),长沙,盈峰环境,8000-12000元,1-3年,本科,环保,海外销售,
运营助理,邯郸,邯郸文略网络科技有限公司,4000-7000元,经验不限,学历不限,电子商务,销售运营,
法律顾问,平顶山,平顶山市硕鼎法律咨询有限公司,3000-4000元,1-3年,学历不限,法律服务,"公检法工作经验, 律所工作经验, 销售性质, B类法律职业资格证, 爱心、奉献、有团队",
信用卡销售,南阳,河南弘毅创客信息科技有限公司,5000-6000元,1-3年,学历不限,互联网,"面销/陌拜, 电话销售, 地推销售",
企业管理咨询,佛山,佛山柴虫企业服务有限公司,1-2万,经验不限,学历不限,企业服务,"税务，金融, 咨询专员/助理, 咨询经理/主管, 咨询总监, 市场研究, 企业调研, 电话咨询, 网络咨询, 线下咨询",
家装顾问,长治,长治市潞州区佰亿缘系统门窗经营部,2000-3000元,1-3年,学历不限,新零售,门窗,拓展培训
新媒体运营,株洲,株洲雷鹏信息咨询服务有限公司,5000-8000元,经验不限,大专,新媒体,,"工作餐免费, 无责底薪, 包住, 高提成"
厨师,佛山,广东恒生兆业商业投资有限公司,8000-15000元,3-5年,学历不限,物业管理,"酒店, 酒楼, 食堂, 粤菜, 湘菜, 西餐",
招切割工 夜班补助 包午餐,昭通,昭通市昭阳区质感石材经营店,5000-6000元,经验不限,学历不限,零售/批发,石英石加工安装师傅,
城市经理（怀酒）,驻马店,国台酒业,7000-14000元,3-5年,大专,快速消费品,"华中大区, 华东大区, 华北大区, 渠道销售, 代理商销售, 招商加盟, 政府客户, 企业客户, KA大客户","五险一金, 绩效奖金, 带薪假期, 通讯补贴, 交通补贴, 节日福利, 餐饮补贴, 住房补贴"
内勤文员,长沙,长沙市雨花区新湘文化用品批发部,4000-5000元·13薪,1-3年,大专,零售/批发,"会务活动, 资料管理, 后勤管理, 带薪年假",带薪假期
威高希尔顿逸林酒店总经理,威海,威海颢林酒店管理有限责任公司,1.5-2.5万,5-10年,本科,酒店/民宿,"包吃包住, 五险一金, 门店运营管理, 酒店总经理工作经验, 希尔顿品牌工作经验, 英语可做为工作语言","五险一金, 单位体检, 绩效奖金, 带薪假期, 节日福利, 餐饮补贴, 包吃包住, 商业医疗险"
导演,佛山,佛山开舢影世文化传媒有限公司,1-2万,1-3年,大专,文化艺术/娱乐,"电视剧导演, 电影导演",
展览设计师,深圳,深圳市大唐国展工程有限公司,6000-8000元,3-5年,大专,装饰装修,会展陈列设计,"五险一金, 绩效奖金, 团建旅游"
内饰资深设计师,柳州,广西柳州联耕科技有限公司,1.1-2.2万·13薪,5-10年,本科,汽车研发/制造,"UG, 车身结构设计, 商用车, 专用车, 微/轻货车, 乘用车","五险一金, 带薪假期, 节日福利, 周末双休, 加班补贴"
注册一级建筑师,海口,海南瑞拓工程勘察设计有限公司,9000-18000元,5-10年,本科,建筑设计,一级建筑师,
