职位,城市,公司,薪资,经验,学历,领域,技能,福利
运营专员/销售运营（无销售性质-偏数据）,重庆,金刚清泓,5000-8000元,经验不限,本科,汽车金融,"toB, 助理, 专员, 主管, 数据分析, 运营专员, 数据运营",周末双休
系统数据应用工程师（J10298）,重庆,中信建投期货有限公司,6000-10000元,经验不限,本科,证券/期货,"Sql, Hadoop","单位体检, 五险一金, 带薪假期, 通讯补贴, 交通补贴, 餐饮补贴, 全勤奖金, 住房补贴"
经营分析,重庆,北京耐思云科技有限公司,7000-12000元,3-5年,本科,云计算/大数据,"数据分析, 财务BP, SQL",
项目经理,重庆,立信(重庆)数据科技股份有限公司,5000-10000元,5-10年,本科,咨询服务,"用户调研, 竞品调研, 产品调研","五险一金, 全勤奖金, 绩效奖金, 带薪假期, 十三薪, 节日福利, 周末双休"
运营商项目专员,重庆,重庆传显科技有限公司,5000-10000元·13薪,1-3年,本科,通信/网络设备,"数据分析, 专项管理, 资源管理",
客户主任（渝西）,重庆,上海锐澳酒业有限公司,7000-10000元·13薪,3-5年,高中,快速消费品,"渠道销售, 代理商销售, 经销商管理, 团队管理, 数据分析",
电商采购专员,重庆,重庆森粮汇电子商务有限公司,5000-8000元,3-5年,本科,电子商务,"家居用品, 电商采购, 数据分析","带薪假期, 晋升空间大, 高温补贴, 节日福利, 五险, 年终奖金, 绩效奖金, 生日福利, 法定节假日休"
中高级数据开发工程师,重庆,美捷智汇大数据科技重庆有限公司,1-1.4万·13薪,3-5年,本科,计算机软件,"Java, 数据仓库, 数据建模, ETL, Sql, Python, Hadoop, Spark, Kafka","法定节假日休, 周末双休, 六险一金, 节日福利"
客服策略分析师(J10460),重庆,重庆信盟科技发展有限公司,1.5-2万·14薪,5-10年,本科,互联网金融/小额贷款,"SQL, 商业数据分析, 运营数据分析, 销售数据分析, 广告分析",
挖机专员,重庆,重庆新坦途汽车销售有限公司,1000元以下,经验不限,学历不限,汽车研发/制造,分类算法,
RPA工程师,重庆,重庆翻转企业管理咨询有限公司,7000-12000元,经验不限,本科,云计算/大数据,"Python, AI算法开发, 数据挖掘",
金融数据分析师,重庆,重庆道微投资管理有限公司,6000-12000元,1-3年,本科,计算机软件,"Python, 机器学习, 数理逻辑",周末双休
金融投研数据分析,重庆,北京睿然商务有限公司,1-1.5万,3-5年,本科,电子商务,保险数据分析,
BI工程师,重庆,重庆翻转企业管理咨询有限公司,7000-12000元,1-3年,本科,云计算/大数据,"SQL, Hadoop, 数据治理, 报表开发, FineBI, QuickBI, Tableau, MySQL, Oracle, 数据可视化",
金融分析师助理,重庆,重庆中旗晟鸿网络科技有限公司,6000-12000元,经验不限,大专,咨询服务,"期货数据分析, 理财数据分析, 风险分析, 政策分析, 技术面分析","团建福利, 绩效奖金, 无责底薪, 高提成, 周末双休, 生日福利"
证券投资研究及交易员,重庆,成都希尔私募基金管理有限公司,2-4万,5-10年,本科,基金,"股票市场, 基金市场, 技术面分析, 量化分析, Python, C语言, 基金从业资格证, C++","绩效奖金, 无责底薪"
