职位,城市,公司,薪资,经验,学历,领域,技能,福利
数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
质量控制岗,重庆,京东集团,8000-15000元·16薪,5-10年,大专,互联网,"年终奖, 餐补, 五险一金, 商业保险, 单位体检, 数据分析, 质量控制","五险一金, 餐饮补贴, 商业保险, 单位体检, 年终奖金"
统计分析,重庆,重庆红驼动力科技有限公司,4000-5000元·13薪,3-5年,中专/中技,摩托车/自行车制造,"数据统计, 生产统计, 仓库统计",
【总部】售后分析岗,重庆,万友汽车,8000-12000元,1-3年,本科,汽车研发/制造,汽车售后分析,
数据分析师助理,重庆,重庆百计信用管理有限公司,3000-4000元,经验不限,本科,专业技术服务,"数据挖掘, 算法","单位体检, 五险一金, 绩效奖金, 带薪假期, 团建旅游, 节日福利, 周末双休"
运营管理助理,重庆,申通快递,5000-6000元,经验不限,本科,货运/物流/仓储,"数据分析, 运营管理, 时效运营, 成本管理, 质量管理",
大数据开发工程师,重庆,重庆卡歌科技有限公司,6000-10000元,1-3年,本科,计算机软件,"数据治理, 数据库开发",
数据运营分析,重庆,万声(重庆)信息技术有限公司,6000-8000元,经验不限,大专,企业服务,电商数据运营,"住房补贴, 五险一金, 五险, 年终奖金, 餐饮补贴"
金融数据分析师,重庆,平安融易(黑龙江)信息服务有限公司重庆第九分公司,5000-10000元,经验不限,大专,互联网金融/小额贷款,"Python, 全职","奖金加提成, 周末双休"
市场调研,重庆,贵州沿河泓睿矿业有限公司,6000-12000元,3-5年,学历不限,矿产/采掘,"行业调研, 产品调研, 商业调研",
大模型—RM搜索,重庆,重庆禹迹科技发展有限公司,5000-6000元,经验不限,本科,人工智能,"数据分析, 数据采集",
数据分析员（用户调研方向）,重庆,重庆卓典市场信息咨询有限公司,6000-8000元,1-3年,本科,咨询服务,用户调研,
数据信息分析,重庆,重庆九龙安保服务有限公司,6000-7000元,1-3年,大专,政府/公共事业,"Python, Sql, 数据可视化","工作餐免费, 五险一金"
大数据工程师,重庆,重庆康洲大数据(集团)有限公司,9000-18000元,经验不限,大专,医药制造,"Spark, Kafka, Hive, Elasticsearch",
运营管培生,重庆,重庆异连科技有限公司,5000-7000元·13薪,经验不限,本科,互联网,数据分析,
金融/证券/基金/理财+ai训练,重庆,软通动力信息技术(集团)股份有限公司,5000-6000元,1-3年,大专,互联网,"基金数据分析, 证券数据分析, 理财数据分析, 行业分析, 证券从业资格证, 基金从业资格证",
订单数据助理,重庆,广州市华好日用品有限公司,4000-5000元,1-3年,大专,快速消费品,"熟悉使用EXCEL函数, 需要财务对账开具发票, 会销售数据分析, 细心严谨，沟通能力好","签订劳动合同, 团建福利, 节日福利, 带薪假期, 年终奖金, 商业保险, 团建旅游, 五险一金, 周末双休"
数据统计专员,重庆,重庆骄能商贸有限公司,4000-6000元,1-3年,大专,建材,"资料管理, 合同管理, 资料收集, 款项核对, 数据核对","全勤奖金, 绩效奖金, 周末双休, 五险, 团建旅游, 通讯补贴, 节日福利, 餐饮补贴"
应届毕业生（审核、资产管理、技术运维、客服方向）,重庆,智博融资租赁(深圳)有限公司,3000-6000元,无经验,本科,投资/融资,"数据分析, 双休, 运营方向, 客服方向, 运维方向, 风控, 审核, 计算机专业",周末双休
全国有岗位（开发、测试、算法、数据分析等,重庆,外企德科数字技术有限公司,1.9-3.5万·16薪,经验不限,本科,人力资源服务,,"五险一金, 社会保险, 绩效奖金, 带薪假期, 年终奖金, 项目奖金, 周末双休"
数据（五险一金双休）,重庆,重庆驭越企业管理有限公司,5000-8000元,1-3年,大专,投资/融资,销售数据分析,"五险一金, 带薪假期, 零食/下午茶, 团建旅游, 周末双休, 节日福利, 团建福利, 生日福利"
应届毕业生（人力资源、会计、计算机专业）,重庆,智博融资租赁(深圳)有限公司,3000-6000元,无经验,本科,投资/融资,"数据分析, 双休, 运营方向, 客服方向, 运维方向, 风控, 审核, 人力资源",周末双休
数据/策略运营-管培生,重庆,重庆异连科技有限公司,5000-7000元·13薪,经验不限,本科,互联网,"平台策略, 产品策略, 商家策略, 渠道策略, 亚马逊",
医学编辑数据分析+周末双休+五险一金,重庆,山东易途人力资源有限公司,5000-6000元,无经验,本科,人力资源服务,医学编辑,"五险, 周末双休, 五险一金"
委外运营支持岗+朝九晚六双休+8-12K,重庆,深圳南区人瑞人力资源服务有限公司,8000-12000元,1-3年,大专,企业服务,"金融数据分析, 策略运营, 数据监控, BI平台建设, 数据采集, Power BI, FineBI, Tableau",周末双休
订单数据助理,重庆,广州市华好日用品有限公司,4000-5000元,1-3年,大专,快速消费品,订单制作,
AI金融实盘审核标注员/双休五险一金,重庆,山东易途人力资源有限公司,4000-6000元,1-3年,大专,人力资源服务,"证券数据分析, 基金数据分析, 基金从业资格证, 证券从业资格证","绩效奖金, 餐饮补贴, 包住, 周末双休, 节日福利, 五险一金, 住房补贴, 五险, 法定节假日休"
初级大数据工程师,重庆,重庆港澳大家软件产业有限公司,5000-10000元,经验不限,本科,IT服务,"数据挖掘, 数据仓库, Python, 数据建模, BI工具, Sql, Hadoop, Spark, TensorFlow","五险一金, 节日福利, 周末双休, 餐饮补贴, 年终奖金, 绩效奖金, 带薪假期, 通讯补贴, 生日福利"
全国均有岗位（开发、测试、算法、数据分析等）,重庆,外企德科数字技术有限公司,1.5-3万·16薪,经验不限,本科,人力资源服务,"JavaScript, C++, Python, Spring, Hibernate, MySQL, PostgreSQL, Oracle","五险一金, 带薪假期, 周末双休, 五险, 免费班车, 交通补贴, 年终奖金, 绩效奖金, 项目奖金"
金融标注/双休五险一金,重庆,山东易途人力资源有限公司,5000-6000元,1-3年,本科,人力资源服务,"银行数据分析, 证券从业资格证, 金融行业","绩效奖金, 餐饮补贴, 包住, 周末双休, 节日福利, 五险一金, 住房补贴, 五险, 法定节假日休"
数据运营助理,重庆,重庆异连科技有限公司,4000-7000元·13薪,经验不限,本科,互联网,"精品运营, Amazon, 跨境店铺运营, 亚马逊运营, 数据分析",
业务支持专员,重庆,顺丰速运,1-1.5万,1-3年,本科,货运/物流/仓储,业务支持,
销售数据分析,重庆,平安融易(黑龙江)信息服务有限公司重庆第五分公司,5000-10000元,经验不限,本科,互联网金融/小额贷款,"全职, Python",
数据规划与研发岗（外包）,重庆,重庆信息通信研究院,7000-12000元,经验不限,本科,通信/网络设备,"数据治理, 数据架构",
数据PM,重庆,字节跳动,8000-12000元,3-5年,本科,互联网,,
数据分析师,重庆,重庆麦芽传媒有限公司,9000-15000元,3-5年,本科,广播/影视,"Sql, Python, 报表开发",
销售经理助理,重庆,中国人寿保险股份有限公司重庆市沙坪坝区支公司,4000-7000元,1-3年,大专,保险,"双休, 五险一金","五险一金, 周末双休"
销售内勤,重庆,重庆中润医药有限公司,4000-6000元,1-3年,大专,医药制造,数据统计分析,"年终分红, 五险一金, 全勤奖金, 绩效奖金, 周末双休, 团建旅游, 节日福利"
应届毕业生（审核、资产管理、客服方向）,重庆,智博融资租赁(深圳)有限公司,3000-6000元,无经验,本科,投资/融资,"excel, 数据分析, 双休",周末双休
数据分析师,重庆,重庆市逻之达科技有限公司,1-2万,3-5年,本科,计算机软件,数据治理,"单位体检, 五险一金, 绩效奖金, 带薪假期, 全勤奖金, 周末双休, 十三薪"
业务支持岗（五险一金双休）,重庆,重庆驭越企业管理有限公司,5000-8000元,1-3年,大专,投资/融资,销售数据分析,"五险一金, 带薪假期, 零食/下午茶, 团建旅游, 周末双休, 节日福利, 团建福利, 生日福利"
支付风控运营专员+13薪+大厂+行政班,重庆,深圳南区人瑞人力资源服务有限公司,6000-8000元·13薪,1-3年,大专,企业服务,"金融反欺诈, 数据分析, 交易风控, 风控建模, 微信",十三薪
bi-,重庆,软通动力信息技术(集团)股份有限公司,1.1-1.5万,5-10年,本科,互联网,数据治理,
数据专员,重庆,海南乐孕生物科技有限公司,4000-6000元,3-5年,大专,生物工程,,
运营分析,重庆,重庆市同浩聚联供应链管理有限公司,1-1.2万,3-5年,本科,咨询服务,,"绩效奖金, 节日福利, 五险一金, 周末双休"
数据处理员,重庆,重庆星尼传媒有限公司,4000-8000元,经验不限,大专,休闲/娱乐,"数据处理, 统计","团建福利, 节日福利, 包住, 绩效奖金, 带薪假期, 拓展培训, 交通补贴"
运营支持专员,重庆,重庆堡食空间餐饮管理有限公司,4000-6000元,1-3年,大专,餐饮服务,"数据分析, 门店端会议统筹能力",
大模型数据工程师,重庆,中国电信重庆分公司,9000-12000元,3-5年,本科,通信/网络设备,"ETL工具, 数据治理, 数据建模, 数据清洗",
数据与人工智能研究员【重庆渝北】（劳务外包）,重庆,重庆信息通信研究院,9000-13000元,3-5年,本科,通信/网络设备,材料撰写,
市场研究员,重庆,重庆康洲大数据(集团)有限公司,8000-16000元,经验不限,本科,医药制造,"药学, 定量研究, 市场研究, 定性研究, 咨询经理/主管, office, SPSS, PS","五险一金, 绩效奖金, 带薪假期, 餐饮补贴, 包吃, 周末双休"
策略数据运营+1w+朝九晚六双休,重庆,深圳南区人瑞人力资源服务有限公司,1-1.1万·13薪,1-3年,本科,企业服务,风控策略,"绩效奖金, 年终奖金, 周末双休, 无责底薪"
销售数据分析员（五险一金双休）,重庆,重庆驭越企业管理有限公司,5000-8000元,1-3年,大专,投资/融资,销售数据分析,"五险一金, 带薪假期, 团建旅游, 零食/下午茶, 周末双休, 节日福利, 团建福利, 生日福利"
数据分析师（重庆）,重庆,新讯数字科技(杭州)有限公司北京分公司,6000-12000元,1-3年,本科,运营商/增值服务,"数据挖掘, 数据建模, 通信安全, 电信诈骗防控",
客户服务岗,重庆,安盛天平财产保险有限公司,4000-7000元,1-3年,本科,保险,"数据分析, 公文写作","单位体检, 五险一金, 高温补贴, 全勤奖金, 带薪假期, 节日福利, 餐饮补贴"
药品电商运营C端,重庆,重庆佳胜医药有限公司,4000-6000元,3-5年,大专,医药批发/零售,"数据分析, 医药品",
数据分析师,重庆,重庆泓展建设工程咨询有限公司,2-2.5万,5-10年,本科,工程施工,"数据挖掘, 数据建模",
销售内勤/销售运营管理,重庆,金刚清泓,6000-8000元,3-5年,本科,汽车金融,"数据统计, 数据分析, 售后管理",周末双休
长安凯程-新能源大数据开发工程师（数据架构）(J23101),重庆,重庆长安凯程汽车科技有限公司,面议,3-5年,本科,零售/批发,"新能源大数据开发, 数据架构, 商用车、皮卡",
调研项目经理（双休+出差补贴）,重庆,厦门莲桥企业管理咨询有限公司,5000-10000元,经验不限,硕士,咨询服务,"用户调研, 企业调研, 产品调研","五险一金, 周末双休, 差旅补贴"
数据分析师,重庆,智博融资租赁(深圳)有限公司,8000-10000元·13薪,1-3年,本科,投资/融资,"Python, Sql, excel, 报表开发, 数据仓库",
服装商品专员,重庆,重庆彦霞商贸发展有限公司,4000-6000元,3-5年,大专,服装/纺织/皮革,商品数据,
金融业务部主管,重庆,中国人寿保险股份有限公司重庆市两江新区支公司,7000-11000元,经验不限,大专,保险,"双休, 主管",周末双休
中高级数据开发工程师 短期3-6个月9/12K,重庆,四川智服人力资源有限公司,9000-12000元,5-10年,大专,人力资源服务,"数据治理, 数据挖掘, ETL, Sql, 数据处理",
销售数据分析专员,重庆,重庆润通科技有限公司,6000-11000元·13薪,3-5年,本科,通用设备制造,,
数据分析师,重庆,北京瀚华信息科技有限公司,1.2-2万,3-5年,本科,投资/融资,"数据挖掘, Sql, Python",
运营分析专员,重庆,中国汽研,7000-10000元,3-5年,本科,汽车研发/制造,"销售数据运营, 经营数据分析, 市场数据分析",
行业分析员,重庆,广东职教桥数据科技有限公司,6000-8000元,经验不限,本科,计算机软件,,
医药信息分析师,重庆,重庆康洲大数据(集团)有限公司,8000-16000元,5-10年,本科,医药制造,"医药科研, 药学","五险一金, 绩效奖金, 周末双休, 带薪假期, 交通补贴, 节日福利, 餐饮补贴"
遗传咨询师,重庆,上海韦翰斯生物医药科技有限公司,7000-8000元,无经验,硕士,生物工程,数据分析,
上位机软件开发工程师,重庆,重庆菱电自动化设备有限公司,1-1.5万,经验不限,大专,专用设备制造,数据分析,"五险一金, 全勤奖金, 包住, 加班补贴"
电商运营负责人（C端）,重庆,重庆佳胜医药有限公司,1-1.1万,3-5年,大专,医药批发/零售,"数据分析, 医药品",
中高级大数据工程师,重庆,重庆港澳大家软件产业有限公司,1-2万,1-3年,本科,IT服务,"数据治理, 数据建模, Python, 数据仓库, Hadoop, Spark, TensorFlow, BI工具, R语言, SQL数据库","五险一金, 节日福利, 周末双休, 餐饮补贴, 年终奖金, 绩效奖金, 带薪假期, 通讯补贴, 生日福利"
电销数据经理,重庆,北海云旗科技有限公司,7000-11000元,1-3年,本科,互联网,SQL,
大数据开发工程师,重庆,重庆兰诚新能源科技有限公司,1.2-1.8万,1-3年,本科,电子商务,"数据库开发, 数据挖掘, 数据治理",
大宗商品研究岗,重庆,中电投先融期货股份有限公司,7000-10000元,经验不限,本科,证券/期货,,
（重庆）金融大模型训练专家-投研方向,重庆,支付宝(杭州)信息技术有限公司,1-1.5万·14薪,1-3年,本科,互联网,"基金数据分析, 证券数据分析, 期货数据分析, 银行数据分析, 经济分析, 证券从业资格证, 基金从业资格证, 特许金融分析师一级, 特许金融分析师二级, 特许金融分析师三级, 金融",
销售助理,重庆,重庆信德和贸易有限公司,4000-6000元,1-3年,大专,零售/批发,,"绩效奖金, 团建福利, 周末双休"
电力交易研究员,重庆,重庆来东能源有限公司,6000-12000元,经验不限,本科,电力/水利/热力/燃气,"R语言, SAS, 商业数据分析, 销售数据分析","年终分红, 绩效奖金, 节日福利, 年终奖金, 周末双休, 五险, 优秀员工奖, 年轻化团队"
项目运营专员（数据好，本科，工作地永川）,重庆,重庆先特服务外包产业有限公司,5000-7000元,1-3年,本科,通信/网络设备,"电商数据运营, 销售数据运营, 游戏数据运营, 经营数据分析, 行业数据分析, 商业数据分析, 金融数据分析",
合成数据工程师,重庆,津税云(天津)共享经济有限公司,1.2-1.8万,经验不限,本科,投资/融资,Python,
（重庆）金融大模型训练专家-投顾方向,重庆,支付宝(杭州)信息技术有限公司,1-1.5万·14薪,3-5年,本科,互联网,"证券数据分析, 基金数据分析, 经济分析, 基金从业资格证, 证券从业资格证, CPA, ACCA, 金融",
